name,so2_1h,no2_1h,co_8h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h,actualized
Brno-Zvonařka,,30.0,,43.7,,44.5,29.1,2022-08-25 07:29:35.000000
Brno-Lány,6.1,17.2,306.0,40.0,35.9,31.5,26.9,2022-08-25 07:29:35.000000
Brno-Arboretum,,37.9,,35.8,16.2,28.9,19.3,2022-08-25 07:29:35.000000
Brno - Dětská nemocnice,,37.9,,44.0,13.8,26.3,31.0,2022-08-25 07:29:35.000000
Brno-Líšeň,,,,41.0,,32.2,15.0,2022-08-25 07:29:35.000000
Brno-Masná,,,,40.0,,32.3,20.0,2022-08-25 07:29:35.000000
Brno-Tuřany,4.5,23.1,,50.0,40.1,30.5,18.0,2022-08-25 07:29:35.000000
Brno-Svatoplukova,,62.6,364.0,51.8,,38.8,34.6,2022-08-25 07:29:35.000000
Brno-Výstaviště,,40.4,,48.3,,36.1,21.0,2022-08-25 07:29:35.000000
Brno-Úvoz (hot spot),,31.4,305.0,35.0,,29.0,19.0,2022-08-25 07:29:35.000000
Brno-Arboretum,,18.2,,40.0,48.5,30.1,19.9,2022-08-25 08:29:35.000000
Brno-Zvonařka,,31.0,,78.0,,46.8,28.6,2022-08-25 08:29:35.000000
Brno - Dětská nemocnice,,31.4,,51.0,34.1,28.1,22.0,2022-08-25 08:29:35.000000
Brno-Masná,,,,43.0,,33.5,20.0,2022-08-25 08:29:35.000000
Brno-Lány,6.4,13.6,335.0,42.2,47.1,32.7,28.2,2022-08-25 08:29:35.000000
Brno-Svatoplukova,,49.4,393.0,46.2,,40.0,30.8,2022-08-25 08:29:35.000000
Brno-Úvoz (hot spot),,37.3,320.0,38.0,,29.8,20.0,2022-08-25 08:29:35.000000
Brno-Líšeň,,,,49.0,,33.7,17.0,2022-08-25 08:29:35.000000
Brno-Tuřany,5.1,5.9,,51.0,68.2,32.0,27.0,2022-08-25 08:29:35.000000
Brno-Výstaviště,,28.9,,49.6,,37.0,22.3,2022-08-25 08:29:35.000000
Brno-Líšeň,,,,35.0,,35.0,15.0,2022-08-25 10:29:35.000000
Brno-Výstaviště,,15.9,,48.4,,38.9,21.8,2022-08-25 10:29:35.000000
Brno-Arboretum,,3.3,,40.8,88.2,32.4,18.7,2022-08-25 10:29:35.000000
Brno-Svatoplukova,,34.2,451.0,52.9,,42.3,24.2,2022-08-25 10:29:35.000000
Brno - Dětská nemocnice,,9.8,,35.0,80.2,30.1,23.0,2022-08-25 10:29:35.000000
Brno-Úvoz (hot spot),,28.9,339.0,44.0,,32.0,20.0,2022-08-25 10:29:35.000000
Brno-Zvonařka,,41.1,,68.0,,50.1,26.0,2022-08-25 10:29:35.000000
Brno-Lány,6.9,10.9,379.0,52.8,76.2,35.7,25.6,2022-08-25 10:29:35.000000
Brno-Masná,,,,44.0,,36.0,19.0,2022-08-25 10:29:35.000000
Brno-Tuřany,4.8,6.1,,26.0,80.2,33.4,22.0,2022-08-25 10:29:35.000000
Brno-Zvonařka,,34.4,,56.8,,50.5,25.7,2022-08-25 11:29:35.000000
Brno - Dětská nemocnice,,10.3,,43.0,81.6,31.4,19.0,2022-08-25 11:29:35.000000
Brno-Lány,6.7,10.1,379.0,47.9,81.6,37.1,24.3,2022-08-25 11:29:35.000000
Brno-Masná,,,,41.0,,37.2,19.0,2022-08-25 11:29:35.000000
Brno-Úvoz (hot spot),,,351.0,46.0,,33.3,21.0,2022-08-25 11:29:35.000000
Brno-Arboretum,,5.4,,45.6,86.2,33.8,19.1,2022-08-25 11:29:35.000000
Brno-Tuřany,4.8,4.8,,29.0,82.2,34.0,22.0,2022-08-25 11:29:35.000000
Brno-Svatoplukova,,23.1,481.0,45.5,,43.4,23.7,2022-08-25 11:29:35.000000
Brno-Výstaviště,,9.4,,47.8,,40.0,22.4,2022-08-25 11:29:35.000000
Brno-Líšeň,,,,31.0,,35.9,16.0,2022-08-25 11:29:35.000000
Brno-Arboretum,,5.2,,39.9,94.2,34.9,18.7,2022-08-25 12:29:35.000000
Brno-Masná,,,,43.0,,38.4,19.0,2022-08-25 12:29:35.000000
Brno-Líšeň,,,,37.0,,37.0,17.0,2022-08-25 12:29:35.000000
Brno-Zvonařka,,37.3,,69.0,,51.8,24.7,2022-08-25 12:29:35.000000
Brno-Úvoz (hot spot),,47.8,365.0,43.0,,34.5,20.0,2022-08-25 12:29:35.000000
Brno-Lány,6.7,8.0,379.0,46.1,91.8,38.4,22.7,2022-08-25 12:29:35.000000
Brno - Dětská nemocnice,,10.3,,31.0,92.2,32.0,13.0,2022-08-25 12:29:35.000000
Brno-Svatoplukova,,22.6,510.0,47.4,,44.3,23.2,2022-08-25 12:29:35.000000
Brno-Tuřany,4.8,4.2,,34.0,88.2,35.0,12.0,2022-08-25 12:29:35.000000
Brno-Výstaviště,,6.1,,45.2,,41.1,20.8,2022-08-25 12:29:35.000000
Brno-Masná,,,,40.0,,39.4,17.0,2022-08-25 13:29:35.000000
Brno-Svatoplukova,,22.2,524.0,44.6,,44.9,20.9,2022-08-25 13:29:35.000000
Brno-Výstaviště,,7.1,,41.5,,41.8,17.8,2022-08-25 13:29:35.000000
Brno - Dětská nemocnice,,11.1,,34.0,100.9,33.0,14.0,2022-08-25 13:29:35.000000
Brno-Zvonařka,,42.5,,64.0,,51.7,22.1,2022-08-25 13:29:35.000000
Brno-Líšeň,,,,46.0,,38.3,11.0,2022-08-25 13:29:35.000000
Brno-Úvoz (hot spot),,35.2,366.0,41.0,,35.5,18.0,2022-08-25 13:29:35.000000
