OBJECTID,ID_LOKALITY,DATUM_CAS,DATUM_CAS_TEXT,CAS,DEN,DEN_TEXT,MESIC,MESIC_TEXT,POCET_PRUJEZDU_ZLEVA,POCET_PRUJEZDU_ZPRAVA,POCET_PRUJEZDU_SOUCET
5617,M016,2022/05/09 00:00:00+00,09.05.2022 00:00-01:00,00:00-01:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5618,M016,2022/05/09 00:59:59+00,09.05.2022 01:00-02:00,01:00-02:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5619,M016,2022/05/09 02:00:00+00,09.05.2022 02:00-03:00,02:00-03:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5620,M016,2022/05/09 03:00:00+00,09.05.2022 03:00-04:00,03:00-04:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5621,M016,2022/05/09 03:59:59+00,09.05.2022 04:00-05:00,04:00-05:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5622,M016,2022/05/09 05:00:00+00,09.05.2022 05:00-06:00,05:00-06:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5623,M016,2022/05/09 06:00:00+00,09.05.2022 06:00-07:00,06:00-07:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5624,M016,2022/05/09 06:59:59+00,09.05.2022 07:00-08:00,07:00-08:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5625,M016,2022/05/09 08:00:00+00,09.05.2022 08:00-09:00,08:00-09:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5626,M016,2022/05/09 09:00:00+00,09.05.2022 09:00-10:00,09:00-10:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5627,M016,2022/05/09 09:59:59+00,09.05.2022 10:00-11:00,10:00-11:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5628,M016,2022/05/09 11:00:00+00,09.05.2022 11:00-12:00,11:00-12:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5629,M016,2022/05/09 12:00:00+00,09.05.2022 12:00-13:00,12:00-13:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5630,M016,2022/05/09 12:59:59+00,09.05.2022 13:00-14:00,13:00-14:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5631,M016,2022/05/09 14:00:00+00,09.05.2022 14:00-15:00,14:00-15:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,22,37,59
5632,M016,2022/05/09 15:00:00+00,09.05.2022 15:00-16:00,15:00-16:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,73,118,191
5633,M016,2022/05/09 15:59:59+00,09.05.2022 16:00-17:00,16:00-17:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,126,152,278
5634,M016,2022/05/09 17:00:00+00,09.05.2022 17:00-18:00,17:00-18:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,106,112,218
5635,M016,2022/05/09 18:00:00+00,09.05.2022 18:00-19:00,18:00-19:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,83,91,174
5636,M016,2022/05/09 18:59:59+00,09.05.2022 19:00-20:00,19:00-20:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,65,72,137
5637,M016,2022/05/09 20:00:00+00,09.05.2022 20:00-21:00,20:00-21:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,19,17,36
5638,M016,2022/05/09 21:00:00+00,09.05.2022 21:00-22:00,21:00-22:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,5,2,7
5639,M016,2022/05/09 21:59:59+00,09.05.2022 22:00-23:00,22:00-23:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,0,0,0
5640,M016,2022/05/09 23:00:00+00,09.05.2022 23:00-24:00,23:00-24:00,2022/05/09 00:00:00+00,09.05.2022 ,2022/05,Květen 2022,1,1,2
5641,M016,2022/05/10 00:00:00+00,10.05.2022 00:00-01:00,00:00-01:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,0,0,0
5642,M016,2022/05/10 00:59:59+00,10.05.2022 01:00-02:00,01:00-02:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,0,0,0
5643,M016,2022/05/10 02:00:00+00,10.05.2022 02:00-03:00,02:00-03:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,0,0,0
5644,M016,2022/05/10 03:00:00+00,10.05.2022 03:00-04:00,03:00-04:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,0,0,0
5645,M016,2022/05/10 03:59:59+00,10.05.2022 04:00-05:00,04:00-05:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,0,0,0
5646,M016,2022/05/10 05:00:00+00,10.05.2022 05:00-06:00,05:00-06:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,0,0,0
5647,M016,2022/05/10 06:00:00+00,10.05.2022 06:00-07:00,06:00-07:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,0,1,1
5648,M016,2022/05/10 06:59:59+00,10.05.2022 07:00-08:00,07:00-08:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,2,3,5
5649,M016,2022/05/10 08:00:00+00,10.05.2022 08:00-09:00,08:00-09:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,9,6,15
5650,M016,2022/05/10 09:00:00+00,10.05.2022 09:00-10:00,09:00-10:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,8,11,19
5651,M016,2022/05/10 09:59:59+00,10.05.2022 10:00-11:00,10:00-11:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,41,27,68
5652,M016,2022/05/10 11:00:00+00,10.05.2022 11:00-12:00,11:00-12:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,35,42,77
5653,M016,2022/05/10 12:00:00+00,10.05.2022 12:00-13:00,12:00-13:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,24,32,56
5654,M016,2022/05/10 12:59:59+00,10.05.2022 13:00-14:00,13:00-14:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,42,46,88
5655,M016,2022/05/10 14:00:00+00,10.05.2022 14:00-15:00,14:00-15:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,39,40,79
5656,M016,2022/05/10 15:00:00+00,10.05.2022 15:00-16:00,15:00-16:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,95,130,225
5657,M016,2022/05/10 15:59:59+00,10.05.2022 16:00-17:00,16:00-17:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,136,178,314
5658,M016,2022/05/10 17:00:00+00,10.05.2022 17:00-18:00,17:00-18:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,137,150,287
5659,M016,2022/05/10 18:00:00+00,10.05.2022 18:00-19:00,18:00-19:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,102,99,201
5660,M016,2022/05/10 18:59:59+00,10.05.2022 19:00-20:00,19:00-20:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,14,17,31
5661,M016,2022/05/10 20:00:00+00,10.05.2022 20:00-21:00,20:00-21:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,14,9,23
5662,M016,2022/05/10 21:00:00+00,10.05.2022 21:00-22:00,21:00-22:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,3,3,6
5663,M016,2022/05/10 21:59:59+00,10.05.2022 22:00-23:00,22:00-23:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,3,3,6
5664,M016,2022/05/10 23:00:00+00,10.05.2022 23:00-24:00,23:00-24:00,2022/05/10 00:00:00+00,10.05.2022 ,2022/05,Květen 2022,1,0,1
5665,M016,2022/05/11 00:00:00+00,11.05.2022 00:00-01:00,00:00-01:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,0,0,0
5666,M016,2022/05/11 00:59:59+00,11.05.2022 01:00-02:00,01:00-02:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,0,0,0
5667,M016,2022/05/11 02:00:00+00,11.05.2022 02:00-03:00,02:00-03:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,0,0,0
5668,M016,2022/05/11 03:00:00+00,11.05.2022 03:00-04:00,03:00-04:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,0,0,0
5669,M016,2022/05/11 03:59:59+00,11.05.2022 04:00-05:00,04:00-05:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,0,0,0
5670,M016,2022/05/11 05:00:00+00,11.05.2022 05:00-06:00,05:00-06:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,0,0,0
5671,M016,2022/05/11 06:00:00+00,11.05.2022 06:00-07:00,06:00-07:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,0,1,1
5672,M016,2022/05/11 06:59:59+00,11.05.2022 07:00-08:00,07:00-08:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,3,2,5
5673,M016,2022/05/11 08:00:00+00,11.05.2022 08:00-09:00,08:00-09:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,9,14,23
5674,M016,2022/05/11 09:00:00+00,11.05.2022 09:00-10:00,09:00-10:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,12,13,25
5675,M016,2022/05/11 09:59:59+00,11.05.2022 10:00-11:00,10:00-11:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,32,30,62
5676,M016,2022/05/11 11:00:00+00,11.05.2022 11:00-12:00,11:00-12:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,35,25,60
5677,M016,2022/05/11 12:00:00+00,11.05.2022 12:00-13:00,12:00-13:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,40,37,77
5678,M016,2022/05/11 12:59:59+00,11.05.2022 13:00-14:00,13:00-14:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,45,52,97
5679,M016,2022/05/11 14:00:00+00,11.05.2022 14:00-15:00,14:00-15:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,70,71,141
5680,M016,2022/05/11 15:00:00+00,11.05.2022 15:00-16:00,15:00-16:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,121,130,251
5681,M016,2022/05/11 15:59:59+00,11.05.2022 16:00-17:00,16:00-17:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,152,197,349
5682,M016,2022/05/11 17:00:00+00,11.05.2022 17:00-18:00,17:00-18:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,164,195,359
5683,M016,2022/05/11 18:00:00+00,11.05.2022 18:00-19:00,18:00-19:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,144,157,301
5684,M016,2022/05/11 18:59:59+00,11.05.2022 19:00-20:00,19:00-20:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,80,87,167
5685,M016,2022/05/11 20:00:00+00,11.05.2022 20:00-21:00,20:00-21:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,36,20,56
5686,M016,2022/05/11 21:00:00+00,11.05.2022 21:00-22:00,21:00-22:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,9,3,12
5687,M016,2022/05/11 21:59:59+00,11.05.2022 22:00-23:00,22:00-23:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,3,3,6
5688,M016,2022/05/11 23:00:00+00,11.05.2022 23:00-24:00,23:00-24:00,2022/05/11 00:00:00+00,11.05.2022 ,2022/05,Květen 2022,2,1,3
5689,M016,2022/05/13 00:00:00+00,13.05.2022 00:00-01:00,00:00-01:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5690,M016,2022/05/13 00:59:59+00,13.05.2022 01:00-02:00,01:00-02:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5691,M016,2022/05/13 02:00:00+00,13.05.2022 02:00-03:00,02:00-03:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5692,M016,2022/05/13 03:00:00+00,13.05.2022 03:00-04:00,03:00-04:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5693,M016,2022/05/13 03:59:59+00,13.05.2022 04:00-05:00,04:00-05:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5694,M016,2022/05/13 05:00:00+00,13.05.2022 05:00-06:00,05:00-06:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5695,M016,2022/05/13 06:00:00+00,13.05.2022 06:00-07:00,06:00-07:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5696,M016,2022/05/13 06:59:59+00,13.05.2022 07:00-08:00,07:00-08:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5697,M016,2022/05/13 08:00:00+00,13.05.2022 08:00-09:00,08:00-09:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5698,M016,2022/05/13 09:00:00+00,13.05.2022 09:00-10:00,09:00-10:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5699,M016,2022/05/13 09:59:59+00,13.05.2022 10:00-11:00,10:00-11:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5700,M016,2022/05/13 11:00:00+00,13.05.2022 11:00-12:00,11:00-12:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5701,M016,2022/05/13 12:00:00+00,13.05.2022 12:00-13:00,12:00-13:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5702,M016,2022/05/13 12:59:59+00,13.05.2022 13:00-14:00,13:00-14:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5703,M016,2022/05/13 14:00:00+00,13.05.2022 14:00-15:00,14:00-15:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5704,M016,2022/05/13 15:00:00+00,13.05.2022 15:00-16:00,15:00-16:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5705,M016,2022/05/13 15:59:59+00,13.05.2022 16:00-17:00,16:00-17:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5706,M016,2022/05/13 17:00:00+00,13.05.2022 17:00-18:00,17:00-18:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5707,M016,2022/05/13 18:00:00+00,13.05.2022 18:00-19:00,18:00-19:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5708,M016,2022/05/13 18:59:59+00,13.05.2022 19:00-20:00,19:00-20:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5709,M016,2022/05/13 20:00:00+00,13.05.2022 20:00-21:00,20:00-21:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,6,5,11
5710,M016,2022/05/13 21:00:00+00,13.05.2022 21:00-22:00,21:00-22:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,7,4,11
5711,M016,2022/05/13 21:59:59+00,13.05.2022 22:00-23:00,22:00-23:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,0,0
5712,M016,2022/05/13 23:00:00+00,13.05.2022 23:00-24:00,23:00-24:00,2022/05/13 00:00:00+00,13.05.2022 ,2022/05,Květen 2022,0,1,1
5713,M016,2022/05/14 00:00:00+00,14.05.2022 00:00-01:00,00:00-01:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,1,0,1
5714,M016,2022/05/14 00:59:59+00,14.05.2022 01:00-02:00,01:00-02:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5715,M016,2022/05/14 02:00:00+00,14.05.2022 02:00-03:00,02:00-03:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5716,M016,2022/05/14 03:00:00+00,14.05.2022 03:00-04:00,03:00-04:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5717,M016,2022/05/14 03:59:59+00,14.05.2022 04:00-05:00,04:00-05:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5718,M016,2022/05/14 05:00:00+00,14.05.2022 05:00-06:00,05:00-06:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5719,M016,2022/05/14 06:00:00+00,14.05.2022 06:00-07:00,06:00-07:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5720,M016,2022/05/14 06:59:59+00,14.05.2022 07:00-08:00,07:00-08:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5721,M016,2022/05/14 08:00:00+00,14.05.2022 08:00-09:00,08:00-09:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5722,M016,2022/05/14 09:00:00+00,14.05.2022 09:00-10:00,09:00-10:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5723,M016,2022/05/14 09:59:59+00,14.05.2022 10:00-11:00,10:00-11:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5724,M016,2022/05/14 11:00:00+00,14.05.2022 11:00-12:00,11:00-12:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5725,M016,2022/05/14 12:00:00+00,14.05.2022 12:00-13:00,12:00-13:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5726,M016,2022/05/14 12:59:59+00,14.05.2022 13:00-14:00,13:00-14:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5727,M016,2022/05/14 14:00:00+00,14.05.2022 14:00-15:00,14:00-15:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5728,M016,2022/05/14 15:00:00+00,14.05.2022 15:00-16:00,15:00-16:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5729,M016,2022/05/14 15:59:59+00,14.05.2022 16:00-17:00,16:00-17:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5730,M016,2022/05/14 17:00:00+00,14.05.2022 17:00-18:00,17:00-18:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5731,M016,2022/05/14 18:00:00+00,14.05.2022 18:00-19:00,18:00-19:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5732,M016,2022/05/14 18:59:59+00,14.05.2022 19:00-20:00,19:00-20:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,0,0,0
5733,M016,2022/05/14 20:00:00+00,14.05.2022 20:00-21:00,20:00-21:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,6,3,9
5734,M016,2022/05/14 21:00:00+00,14.05.2022 21:00-22:00,21:00-22:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,13,9,22
5735,M016,2022/05/14 21:59:59+00,14.05.2022 22:00-23:00,22:00-23:00,2022/05/14 00:00:00+00,14.05.2022 ,2022/05,Květen 2022,3,2,5
