artist(s)_name,artist_count,released_year,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,key,mode,danceability_%,speechiness_%
"Latto, Jung Kook",multiple,2021-2023,"(406.0, 734.0]","(37.0, 147.0]","(121100146.0, 166721963.0]","(34.0, 49.0]","(119.0, 275.0]","(44.0, 67.0]","(10.0, 58.0]",B,Major,high,low
Myke Towers,single,2021-2023,"(1036.0, 1535.0]","(37.0, 147.0]","(121100146.0, 166721963.0]","(34.0, 49.0]","(119.0, 275.0]","(44.0, 67.0]","(10.0, 58.0]",C#,Major,medium,low
Olivia Rodrigo,single,2021-2023,"(1036.0, 1535.0]","(37.0, 147.0]","(121100146.0, 166721963.0]","(73.0, 111.0]","(119.0, 275.0]","(67.0, 120.0]","(10.0, 58.0]",F,Major,low,medium
Taylor Swift,single,2010-2020,"(7302.0, 14101.0]","(37.0, 147.0]","(556072408.0, 811477033.0]","(111.0, 180.0]","(119.0, 275.0]","(120.0, 259.0]","(10.0, 58.0]",A,Major,low,high
Bad Bunny,single,2021-2023,"(3003.0, 4554.0]","(37.0, 147.0]","(290530915.0, 383721650.0]","(73.0, 111.0]","(119.0, 275.0]","(67.0, 120.0]","(10.0, 58.0]",A,Minor,medium,medium
"Dave, Central Cee",multiple,2021-2023,"(1535.0, 2216.0]","(37.0, 147.0]","(166721963.0, 221546973.0]","(49.0, 73.0]","(119.0, 275.0]","(67.0, 120.0]","(10.0, 58.0]",C#,Major,high,high
"Eslabon Armado, Peso Pluma",multiple,2021-2023,"(3003.0, 4554.0]","(37.0, 147.0]","(556072408.0, 811477033.0]","(24.0, 34.0]","(119.0, 275.0]","(29.0, 44.0]","(10.0, 58.0]",F,Minor,medium,low
Quevedo,single,2021-2023,"(406.0, 734.0]","(37.0, 147.0]","(2761.0, 71438326.0]","(24.0, 34.0]","(78.0, 98.0]","(29.0, 44.0]","(10.0, 58.0]",F,Major,medium,low
Gunna,single,2021-2023,"(1036.0, 1535.0]","(37.0, 147.0]","(71438326.0, 121100146.0]","(49.0, 73.0]","(119.0, 275.0]","(44.0, 67.0]","(10.0, 58.0]",C#,Minor,high,medium
"Peso Pluma, Yng Lvcas",multiple,2021-2023,"(2216.0, 3003.0]","(37.0, 147.0]","(383721650.0, 556072408.0]","(34.0, 49.0]","(98.0, 119.0]","(44.0, 67.0]","(10.0, 58.0]",D,Minor,high,high
