artist_code,artist_count,released_year,in_spotify_playlists_norm,in_spotify_charts_norm,streams,in_apple_playlists_norm,in_apple_charts_norm,in_deezer_playlists_norm,in_deezer_charts_norm,key,mode,danceability_%,speechiness_%
325,2,2023,189.0,160.0,141381703,917.33,141.0,771.67,56.0,11,0,80,4
400,1,2023,508.0,65.83,133716286,1034.0,60.5,920.17,64.67,1,0,71,4
430,1,2023,481.33,126.0,140003974,2153.0,107.83,1265.67,64.67,5,0,51,6
557,1,2019,2752.33,114.33,800840817,2746.67,107.83,1608.67,59.67,9,0,55,15
43,1,2023,1086.0,69.17,303236322,1849.67,64.33,1219.5,69.33,9,1,65,6
123,2,2023,754.67,108.67,183706234,1384.0,117.0,1232.83,76.5,1,0,92,24
176,2,2023,1070.33,69.17,725980112,752.83,123.33,729.33,62.0,5,1,67,3
468,1,2023,244.67,60.83,58149378,557.5,36.0,548.33,62.0,5,0,67,4
213,1,2023,377.0,102.83,95217315,1223.17,112.33,802.0,57.33,1,1,85,9
451,2,2023,1022.0,62.0,553634067,1042.0,49.33,1030.67,62.0,2,1,81,33
45,2,2023,995.67,58.0,505671438,884.33,106.0,890.0,59.67,6,1,57,5
417,1,2023,144.0,73.67,58255150,807.83,103.67,409.33,46.5,5,1,78,7
394,1,2023,4316.33,141.0,1316855716,11048.67,118.67,4970.0,160.0,,0,71,7
127,1,2023,1225.0,112.33,387570742,1704.67,77.17,2113.83,100.67,2,1,51,3
222,1,2022,8839.67,147.33,2513188493,16061.67,100.67,5348.33,147.33,6,1,52,6
497,1,2022,2844.0,93.33,1163093654,5051.0,80.5,1892.0,59.67,8,0,64,4
186,1,2023,1018.0,93.33,496795686,2056.33,114.33,1143.0,49.0,11,1,78,3
60,1,2023,299.67,118.67,30546883,1704.67,126.0,1307.67,100.67,,0,44,3
185,2,2023,903.0,58.0,335222234,917.33,42.67,890.0,64.67,11,0,86,16
254,1,2023,204.0,84.33,363369738,213.67,44.67,439.17,35.33,7,0,63,4
203,3,2023,113.33,44.67,86444842,272.67,81.5,243.0,43.67,5,1,65,4
557,1,2023,176.0,56.5,52135248,1586.0,54.67,710.67,27.33,6,0,69,3
25,1,2013,4562.0,123.33,1297026226,535.17,41.0,4260.33,35.33,,1,48,3
64,2,2023,452.67,58.0,200647221,365.67,75.0,602.0,57.33,5,1,85,5
578,3,2023,670.67,106.0,115364561,1610.33,93.33,1219.5,64.67,1,0,85,20
192,1,2023,84.67,44.67,78300654,345.0,73.0,243.0,46.5,7,1,79,9
494,2,2022,2490.33,93.33,899183384,6109.83,54.67,2901.33,124.67,11,0,80,4
554,2,2023,295.0,58.0,61245289,781.67,48.33,699.67,64.67,6,1,81,4
395,1,2023,836.0,37.67,429829812,1114.67,46.67,325.0,27.33,6,0,52,4
151,1,2023,1034.0,117.0,127408954,44.67,0.0,1780.5,124.67,11,1,67,5
600,1,2023,296.67,95.5,22581161,1503.33,65.33,835.67,27.33,5,1,74,6
449,2,2023,90.0,51.83,52294266,424.0,95.0,295.0,52.17,6,0,56,5
572,3,2022,2103.33,107.0,843957510,2641.33,73.0,2387.0,96.67,1,1,71,5
557,1,2022,3205.33,75.5,999748277,8381.67,69.0,1974.0,53.83,4,0,64,5
289,2,2023,1489.0,66.67,618990393,2711.67,58.0,2135.0,80.33,4,1,72,28
58,8,2023,396.33,49.0,123122413,496.67,11.67,633.33,50.67,,0,81,4
624,2,2023,230.0,51.83,188933502,405.5,48.0,458.0,53.83,6,0,61,3
557,1,2014,4051.33,72.33,1355959075,4150.0,58.0,3230.0,35.33,5,0,75,6
557,1,2014,2741.0,59.67,786181836,2153.0,50.33,1832.33,43.67,2,0,60,4
192,1,2023,199.67,46.67,176553476,345.0,78.67,325.0,49.0,5,1,79,6
268,2,2023,237.0,43.67,354495408,250.67,46.67,174.5,40.33,9,1,56,6
464,2,2018,9026.0,95.5,2808096550,13240.33,54.0,5255.67,43.67,2,0,76,5
53,2,2022,4419.67,100.67,1109433169,10473.67,94.33,3769.0,141.0,7,1,56,4
607,3,2017,4757.33,81.67,1047101291,1633.17,21.67,2404.0,27.33,6,0,56,10
420,3,2023,384.67,100.67,65156199,1795.0,71.0,1016.83,72.5,,0,77,25
394,1,2020,1169.0,37.67,570515054,1312.5,17.33,1692.17,27.33,5,0,67,3
433,1,2022,2959.67,89.33,1085685420,8191.0,61.0,3390.67,117.83,,0,71,5
571,1,2016,858.0,78.67,1647990401,1407.83,7.0,458.0,3.33,1,1,59,7
573,2,2016,11245.67,96.67,2565529693,10155.67,66.67,8473.67,27.33,7,0,68,28
27,2,2023,1181.33,65.33,518745108,1914.0,34.67,1114.67,27.33,1,1,53,7
